Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,directions
Best Butternut Squash Soup Ever,4.5,This butternut squash made with chicken broth is slightly sweet. It's one of the best soups I've had in a while!,15 mins,20 mins,35 mins,4,"1 ½ tablespoons butter | ½ onion, sliced | 2 cloves garlic | 2 sprigs fresh thyme | ½ butternut squash - peeled, seeded, and cut into 1-inch cubes | 4 cups chicken broth | ½ cube chicken bouillon | 1 pinch ground cumin | 1 pinch ground allspice | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/QqHFpD03N4TN6UidUCNGFE6HM90=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9429602-c21492bb7d0d44a792a5b27c70fd3937.jpg,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Melt the butter in a large pot over medium heat; cook the onion, garlic, and thyme in the hot butter until the onion has softened, about 5 minutes. Add the squash and chicken stock; bring to a simmer and cook until the squash is tender, 10 to 15 minutes. Crumble the bouillon into the soup; season with cumin, allspice, salt, and pepper; remove from heat.
- Pour the soup into a blender, filling the pitcher no more than halfway. Hold the lid of the blender in place with a kitchen towel and carefully start the blender using a few quick pulses to get the soup moving before leaving it on to puree. Puree in batches until smooth and pour into a serving bowl. Alternately, you can use a stick blender and puree the soup in the pot."
Shiitake Mushroom Ceviche,5.0,"This vegan ceviche is made with shiitake mushrooms, olives, and tomato. Just like when making seafood ceviche, the ingredients are marinated in a citrus sauce.",15 mins,5 mins,50 mins,2,"1 (8 ounce) package fresh shiitake mushrooms | 1 tomato, chopped | ½ onion, chopped | 9 pitted green olives, chopped | ½ teaspoon dried oregano | ½ orange, juiced | 1 lime, juiced | 2 tablespoons ketchup | 1 tablespoon Mexican-style hot sauce (such as Cholula®), or to taste | 1 ½ teaspoons apple cider vinegar | salt to taste",https://www.allrecipes.com/thmb/9uU6otA7ygBg3nLstU7rMjsp89A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5561454-22abc94b0b6a4e8aabaf69b5140ccd4a.jpg,15.0,5.0,50.0,30.0,D,Short Wait,Wait time 1-30 min,"- Bring a pot of salted water to boil. Add shiitake mushrooms and boil for 1 minute. Remove from heat, drain, and rinse with cold water. Allow to cool for 10 minutes.
- Chop mushrooms as if they were fish for ceviche and place them in a glass bowl. Add tomato, onion, olives, and dried oregano.
- Mix orange juice, lime juice, ketchup, Mexican hot sauce, and vinegar in a separate bowl; pour over the mushrooms. Add salt and mix carefully. Refrigerate for 20 minutes to allow flavors to combine."
Pomegranate Stew with Chicken (Khoresh Fesenjan),4.2,"Chicken, onions, finely processed walnuts, and pomegranate juice are simmered to perfection. The sauce should be as thick as a good chili. Serve with saffron steamed basmati rice. Enjoy! If you prefer, substitute angelica powder for cardamom; instead of pomegranate juice, you can substitute 1/2 cup pomegranate paste diluted in 2 cups water.",15 mins,2 hrs 30 mins,2 hrs 45 mins,6,"2 tablespoons olive oil | 1 ½ pounds chicken legs, cut up | 1 white onion, thinly sliced | ½ pound walnuts, toasted and finely ground in a food processor | 1 teaspoon salt | 4 cups pomegranate juice | ½ teaspoon cardamom (Optional) | 2 tablespoons sugar (Optional)",https://www.allrecipes.com/thmb/i4zJSe3VyGcvvHCpmiGaz9tJl0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8815-856fad791c744317aaecd2701c66d0ef.jpg,15.0,150.0,165.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Heat olive oil in a large skillet over medium heat. Place chicken and onions in skillet, and cook 20 minutes, stirring occasionally. Mix in pureed walnuts, salt, pomegranate juice, and cardamom. Bring to a boil. Reduce heat to low, cover, and simmer for 1 1/2 hours, stirring occasionally. (If the sauce becomes too thick, stir in 1/4 cup warm water.) Mix in sugar, adjust seasoning, and simmer 30 minutes more."
Mom's Nova Scotia Seafood Chowder,4.8,"Being from the Easy Coast, I've tried a lot of different chowders; however, my Mom's seafood chowder recipe is the best! She makes a huge pot every Christmas Eve and all of it is gone by Christmas night. Although it is not very healthy, it is an awesome treat once in awhile for any of us that love seafood!",25 mins,1 hr 5 mins,1 hr 30 mins,20,"2 large onions, diced | 3 carrots, sliced | 7 potatoes, cubed | 1 pound salmon, cut into chunks | 1 pound cod, cut into chunks | 1 pound scallops | 1 pound shrimp, peeled and deveined | 6 ounces cooked lobster meat, shredded | 1 (6 ounce) can crabmeat, drained and flaked | 2 (6.5 ounce) cans chopped clams, drained | 4 ¼ cups heavy whipping cream | 2 cups half-and-half | 1 ½ cups butter, cut into chunks | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/5H8a7iKnOc6M14gB-HcI8jDNyKg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228991-moms-nova-scotia-seafood-chowder-VAT-003-4x3-01pastabowl-cf661c8bca7546e0bfc9cc6245cb796e.jpg,25.0,65.0,90.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Fill a large pot halfway with lightly salted water; bring to a boil. Add onions and carrots; cook until slightly tender, 10 minutes. Add potatoes; cook until tender, 15 to 20 minutes.
- Stir in salmon, cod, scallops, shrimp, lobster, and crab; cook over medium heat until salmon and cod are firm but chunks are still slightly translucent in the center, about 10 minutes. Drain half the water from the pot and add clams, heavy cream, and half-and-half. Place butter chunks atop the soup; season with salt and black pepper. Cover and simmer, stirring occasionally, until salmon and cod are fully cooked and flake easily with a fork, about 30 minutes."
Cottage Cheese Chicken Enchiladas,4.6,"Ever tried chicken enchiladas made with cottage cheese? Now's your chance! This takes some prep time, but it is well worth it. You can make it 1 day ahead, and serve the next day.",30 mins,30 mins,1 hr,6,"1 tablespoon vegetable oil | 2 skinless, boneless chicken breast halves - boiled and shredded | ½ cup chopped onion | 1 (7 ounce) can chopped green chile peppers | 1 (1 ounce) package taco seasoning mix | ½ cup sour cream | 2 cups cottage cheese | 1 teaspoon salt | 1 pinch ground black pepper | 12 (6 inch) corn tortillas | 2 cups shredded Monterey Jack cheese | 1 (10 ounce) can red enchilada sauce",https://www.allrecipes.com/thmb/wf-1K8fmeaUlTk0MTXVg_zq6qbA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/610703-e71de50c5d6f43c29d86bed8afb704ba.jpg,30.0,30.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- To Make Meat Mixture: Heat oil in medium skillet over medium high heat. Add chicken, onion and green chile peppers and saute until browned, then add taco seasoning and prepare meat mixture according to package directions.
- To Make Cheese Mixture: In a medium bowl mix sour cream with cottage cheese and season with salt and pepper; stir until well blended.
- Preheat oven to 350 degrees F (175 degrees C).
- To Assemble Enchiladas: Heat tortillas until soft. In each tortilla place a spoonful of meat mixture, a spoonful of cheese mixture and a bit of shredded cheese. Roll tortillas and place in a lightly greased 9x13 inch baking dish. Top with any remaining meat and cheese mixture, enchilada sauce and remaining shredded cheese.
- Bake at 350 degrees F (175 degrees C) for 30 minutes or until cheese is melted and bubbly."
Ratatouille,4.6,"This ratatouille recipe is my version of the terrific French vegetable stew made with fresh tomatoes and lots of summer vegetables. It's very versatile side dish and makes a delicious vegetarian main dish, too.",15 mins,45 mins,1 hr,4,"2 tablespoons olive oil, divided | 3 cloves garlic, minced | 1 eggplant, cut into ½-inch cubes | 2 teaspoons dried parsley | salt to taste | 1 cup grated Parmesan cheese | 2 zucchini, sliced | 2 large tomatoes, chopped | 2 cups sliced fresh mushrooms | 1 large onion, sliced into rings | 1 green or red bell pepper, sliced",,15.0,45.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Heat the oil in a large skillet; add the garlic and onion and saut until the onions are transparent. Meanwhile, slice the squash and peel and cube the eggplant. Flour the pieces lightly. Add the squash, eggplant and green peppers to the skillet; cover and cook slowly about 30 minutes. Add the tomatoes and capers and simmer, uncovered, until the mixture is thick, about 10 minutes. Season with salt and pepper. Serve hot or cold."
"Portuguese Chourico, Beans, and Rice",4.4,"I grew up on chourico, and this dish is a Portuguese comfort food that my mom always made. I took it upon myself to replicate it with a bit more kick, but even with the changes, it reminds me of being a kid. It's such a warm and satisfying dish.",10 mins,30 mins,40 mins,2,"2 cups water | 1 cup uncooked white rice | 2 tablespoons olive oil | 1 dried chourico sausage, halved lengthwise and cut into 1/4-inch slices | ¼ Spanish onion, finely chopped | 3 cloves garlic, minced | 1 ½ cups tomato sauce | ½ teaspoon red pepper flakes | 1 teaspoon Italian seasoning | salt and pepper to taste | ½ (14.5 ounce) can fava beans, rinsed and drained",https://www.allrecipes.com/thmb/443GPTy0V67xddVsHUaYxgKPyQc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9404170-ccbb40ab5fa044819ddea111296cf475.jpg,10.0,30.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Bring the water to a boil in a pot; stir the rice into the boiling water, reduce heat to low, place cover on the pot, and allow the rice to cook until all the moisture is absorbed, about 30 minutes.
- As the rice cooks, heat the oil in a skillet over medium heat. Cook the chourico in the hot oil for 2 minutes. Add the onions and garlic to the sausage and continue cooking until the vegetables are soft and the chourico has browned, 5 to 7 minutes.
- Stir the tomato sauce into the chourico mixture. Reduce heat to low. Season with the red pepper flakes, Italian seasoning, salt, and pepper; simmer until thoroughly heated, 10 to 15 minutes. Stir the fava beans into the mixture and continue cooking just long enough for the beans to heat, 2 to 3 minutes. Serve over rice."
Roasted Pork Tenderloin with Fresh Plum Sauce,4.6,"This pork tenderloin with plum sauce is an easy one-pan dish. When shopping for this recipe, choose plums (or any other stone fruit) that are fairly firm, so they keep their shape after roasting. Do you know that selfish jerk that has to feel up every piece of fruit before deciding on one? This time, be that jerk.",10 mins,50 mins,1 hr,2,"1 tablespoon vegetable oil | 1 pork tenderloin | salt and ground black pepper to taste | 1 red onion, sliced | 2 shallots, sliced | 3 fresh thyme sprigs, or more to taste | 2 firm plums, pitted and each cut into 4 wedges | 1 cup water | 1 tablespoon balsamic vinegar | 1 teaspoon cold butter",,10.0,50.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat oven to 400 degrees F (200 degrees C). Generously season pork tenderloin with salt and black pepper.
- Heat oil in a large, oven-proof skillet over medium-high heat. Cook tenderloin until browned on all sides, 2 to 4 minutes per side. Transfer tenderloin to a plate.
- Saute onion with a pinch of salt in the same skillet until just softening, 3 to 5 minutes. Add shallots, reduce heat to medium, and cook and stir until shallots and onion are golden brown and caramelized, about 10 minutes.
- Stir thyme into onion mixture; place tenderloin over onion mixture, and set plum quarters, skin-side down, around pork tenderloin. Transfer skillet to preheated oven.
- Cook until pork is slightly pink in the center, about 20 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C). Transfer pork and plums to a plate.
- Place skillet over medium-high heat and pour water and balsamic vinegar into onion mixture. Bring mixture to a boil while scraping the browned bits of food off of the bottom of the pan with a wooden spoon. Cook and stir until liquid is reduced by half, 5 to 10 minutes; remove from heat. Whisk butter into mixture until melted and sauce is shiny. Pour sauce over pork and plums."
Ranch Mix Saltine Crackers,4.8,This saltine cracker recipe is a great snack for ranch lovers. Easy to make and cheap.,5 mins,,3 hrs 5 mins,15,1 ½ cups vegetable oil | 1 (1 ounce) package ranch dressing mix | 1 (16 ounce) package saltine crackers,https://www.allrecipes.com/thmb/xL1ZQIF7_q08Y38HFbv2EnJATOU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/970301-a0d891349e1649aea67d3386a4d1740d.jpg,5.0,,185.0,180.0,,,,"- Place ranch dressing mix and vegetable oil in a 2-gallon resealable bag; seal and shake until well combined. Add crackers and shake until crackers are fully coated. Set aside for 3 hours to allow crackers to absorb coating, shaking bag every 1/2 hour."
Italian Cream Cheese and Ricotta Cheesecake,4.8,"This ricotta cheesecake is my grandmother's recipe passed down to my entire family. I can't believe I'm sharing it, but everyone needs to know how to make an authentic Italian cheesecake. Our family loves it because it is creamy and not thick. It's the best!",15 mins,2 hrs,6 hrs 15 mins,8,"2 (8 ounce) packages cream cheese, softened | 1 (16 ounce) container ricotta cheese | 4 large eggs | 1 ½ cups white sugar | ½ cup butter, melted and cooled | 3 tablespoons flour | 3 tablespoons cornstarch | 1 tablespoon lemon juice | 1 teaspoon vanilla extract | 1 pint sour cream",,15.0,120.0,375.0,240.0,E,Long Wait,Wait time > 30 min,"- Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9-inch springform pan.
- Mix the cream cheese and ricotta cheese together in a mixing bowl until well combined. Stir in the sugar, eggs, lemon juice, vanilla, cornstarch, flour, and butter. Add the sour cream last and stir. Pour the mixture into the prepared springform pan.
- Bake in the preheated oven 1 hour; turn oven off and leave in oven 1 hour more. Allow to cool completely in refrigerator before serving."
Family Beef Salisbury Steak,4.8,"This family-favorite steak recipe is quick and easy. Anyone can make this, from the seasoned long-time cook to beginning newlyweds who are just building their recipe collection. I plan on giving this to my son's future wife at her upcoming bridal shower!",15 mins,55 mins,1 hr 10 mins,5,"cooking spray | 1 ¼ pounds extra-lean ground beef | ½ cup finely chopped sweet onion | ⅓ cup Italian seasoned bread crumbs | 1 (14 ounce) can beef broth, divided | 3 tablespoons milk | ¼ teaspoon ground black pepper | ¼ cup flour, or as needed | salt and ground black pepper to taste | ¼ cup vegetable oil | 2 (10.75 ounce) cans cream of mushroom soup | ¼ teaspoon salt | ¼ teaspoon ground black pepper | 1 small sweet onion, or to taste, sliced thin",https://www.allrecipes.com/thmb/aXxjYxKfMCexgqa3-n0flAm3jEY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/239162family-beef-salisbury-steakYoly4x3-3a6ced2f684e41599a048550f5adc0ac.jpg,15.0,55.0,70.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Preheat oven to 350 degrees F (175 degrees C). Prepare a large casserole dish with cooking spray.
- Lightly mix ground beef, 1/2 cup onion, bread crumbs, 3 tablespoons beef broth, milk, and 1/4 teaspoon black pepper together in a bowl; divide into 5 portions and shape into patties.
- Season flour with salt and pepper in a wide, shallow dish. Gently lay patties into the flour to lightly coat.
- Heat vegetable oil in a 10-inch skillet over medium-high heat. Fry patties in hot oil until browned completely, 3 to 5 minutes per side. Remove patties to a plate lined with paper towel to drain excess grease.
- Stir remaining beef broth, cream of mushroom soup, salt, and 1/4 teaspoon black pepper together in a bowl until smooth.
- Arrange drained patties into the prepared casserole dish. Spread onion slices atop the patties and pour the soup mixture over the patties to cover completely.
- Bake in preheated oven until no longer pink in the center, 45 minutes to 1 hour. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C)."
