Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description
Smash Burgers,4.8,"This smash burger recipe makes super juicy burgers with crispy edges. I prefer to cook these outdoors — they grill up very fast because of the high heat, so make sure you have everything ready to go!",15 mins,5 mins,20 mins,4,"4 hamburger buns | 2 tablespoons butter, softened, or as needed | 1 pound ground chuck beef (80% lean) | 4 (6-inch) squares parchment paper | salt to taste | 4 slices American cheese | burger toppings of choice",,15.0,5.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Sweet and Spicy Air Fryer Butternut Squash Fries,4.6,"These air fryer butternut squash fries with five-spice powder are sweet and spicy, and they're a fiber-full, lower-carb alternative to French fries. Made in the air fryer, they're less messy and can cook up while the rest of your meal is in the making.",10 mins,15 mins,25 mins,6,"1 large butternut squash, peeled and cut into ""fries"" | 2 tablespoons olive oil | 1 tablespoon five-spice powder | 1 tablespoon minced garlic | 2 teaspoons sea salt | 2 teaspoons black pepper",https://www.allrecipes.com/thmb/ayS7oNtoiuik9GrgtMQ6OKoGC40=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8797342-2bcaf8fac12241baab76fa7fc32efd9a.jpg,10.0,15.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Traditional Gyros,4.4,Make a Greek gyro sandwich at home with this recipe that I absolutely love!,15 mins,45 mins,3 hrs 15 mins,12,"1 small onion, cut into chunks | 1 pound ground lamb | 1 pound ground beef | 1 tablespoon minced garlic | 1 teaspoon dried oregano | 1 teaspoon ground cumin | 1 teaspoon dried marjoram | 1 teaspoon dried thyme | 1 teaspoon dried rosemary | 1 teaspoon freshly ground black pepper | ¼ teaspoon sea salt | 12 tablespoons hummus | 12 pita bread rounds | 1 small head lettuce, shredded | 1 large tomato, sliced | 1 large red onion, sliced | 6 ounces crumbled feta cheese | 24 tablespoons tzatziki sauce",https://www.allrecipes.com/thmb/97pIE0_GpaOKxC8nj-RY2tSj2T0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1910259-c95245e555554b9d815279f69bf6198a.jpg,15.0,45.0,195.0,135.0,E,Long Wait,Wait time > 30 min
Jamaican Plantain Tarts,4.3,This authentic Jamaican recipe is really easy to make. It uses ripe plantains (which are a relative of the banana) as the filling. I like to chill the tarts in the refrigerator until they are cold and serve them with a scoop of vanilla ice cream. Enjoy!,25 mins,40 mins,7 hrs 5 mins,25,"2 cups all-purpose flour | 1 teaspoon salt | ¼ cup cold unsalted butter, cut into 1/2-inch pieces | 3 tablespoons shortening, chilled and diced | 1 egg, beaten | 1 tablespoon ice-cold water | 3 very ripe (black) plantains | ¼ cup white sugar | 1 teaspoon vanilla extract | 1 teaspoon grated nutmeg | 2 drops red food coloring (Optional) | 1 egg white, beaten | white sugar for decoration",https://www.allrecipes.com/thmb/ZnB3p8idYwCym9atjRgOMzF3PnI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1525083-24678395dd8442a293e61a1de165fcfe.jpg,25.0,40.0,425.0,360.0,E,Long Wait,Wait time > 30 min
Lobster Thermidor,4.6,"Lobster Thermidor is surprisingly simple to make at home for a stunning meal for two. Lobster shells are stuffed with cooked lobster in a creamy white wine sauce, topped with Parmesan cheese, and broiled until golden.",30 mins,10 mins,40 mins,2,"1 medium (1 ½ pound) cooked lobster | 2 tablespoons butter | 1 shallot, finely chopped | 1 ⅜ cups fresh fish stock | ¼ cup white wine | ¼ cup heavy cream | ½ teaspoon hot English mustard | 2 tablespoons chopped fresh parsley | 1 tablespoon fresh lemon juice | salt and freshly ground black pepper to taste | ¼ cup freshly grated Parmesan cheese",,30.0,10.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Grilled Gorgonzola Flat Irons,3.3,"My friends thought these steaks were heaven sent. The gorgonzola cheese, when melted on top, gives such an interesting contrast to the cinnamon and brown sugar rub. Very nice, however, not too calorie friendly!",15 mins,25 mins,40 mins,4,"1 tablespoon ground cinnamon | 1 tablespoon cracked black pepper | 1 tablespoon garlic powder | 1 tablespoon chili powder | 1 teaspoon cayenne pepper, or to taste | ¼ cup dark brown sugar | 4 (8 ounce) flat iron steaks | 2 tablespoons olive oil | 4 cloves garlic, minced | ¼ cup red onion, minced | 1 cup Cabernet Sauvignon (or other dry red wine) | 1 cup crumbled Gorgonzola cheese | 2 tablespoons chopped fresh basil",https://www.allrecipes.com/thmb/2wRQY_91gMUcnBqRnSKdIqXNUiM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/535610-b7f487cfe3e04c0faf0adc4f5c92bda6.jpg,15.0,25.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Corned Beef Potato Pancakes,3.9,"Corned beef cakes with potatoes and green onions are fantastic for breakfast, served with or without eggs. We love these pancakes on a Sunday morning.",15 mins,30 mins,45 mins,4,"½ (12 ounce) can corned beef, broken into very small chunks | 3 medium potatoes, shredded | 2 green onions, chopped | 1 large egg | salt and pepper to taste | ¼ cup vegetable oil",https://www.allrecipes.com/thmb/peCalXEPdtnxykCVNScVjW_Ug40=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8749448-3257c41b33e44c4692e11a1f741f0ed9.jpg,15.0,30.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Easy Enchilada Casserole,4.3,"An easy, creamy, Tex-Mex enchilada casserole. Garnish with sour cream and black olives, if desired.",10 mins,1 hr,1 hr 15 mins,9,"1 (10.5 ounce) can condensed cream of chicken soup | 4 cooked skinless, boneless chicken breast halves, chopped | 8 ounces sour cream | ½ cup chopped green onions | 3 cups salsa | 1 (4 ounce) can diced green chiles | 4 cups shredded Monterey Jack cheese | 12 (8 inch) flour tortillas",https://www.allrecipes.com/thmb/ojY_yKdHp-agh3KgfRkn3bDZxE0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8464548-ece408c2981e41d39d1fef563ca855cb.jpg,10.0,60.0,75.0,5.0,D,Short Wait,Wait time 1-30 min
Mom Sykes' Hungarian Goulash,4.4,The lemon flavor gives you a pleasant surprise in this tender goulash served over egg noodles.,20 mins,1 hr 30 mins,1 hr 50 mins,4,"3 tablespoons butter | 2 pounds cubed beef stew meat | 1 pinch caraway seeds (Optional) | 1 pound onion, sliced | 2 teaspoons paprika | 1 clove garlic, minced | 1 tablespoon lemon zest | 1 (6 ounce) can tomato paste | 1 (10.5 ounce) can beef consomme | 1 (10 ounce) package broad egg noodles, cooked, rinsed, drained (Kosher for Passover)",https://www.allrecipes.com/thmb/zq7Rp-ZhtUFOx792ZaUjx4vQ18w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/55243mom-sykes-hungarian-goulashlutzflcat4x3-74cd899e38e248cc81a7b0c0eeb87acc.jpg,20.0,90.0,110.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Gluten-Free Peanut Butter Cookies,4.5,"This recipe is gluten-free and delicious! Pecans are great in these, but feel free to use peanuts or any other nut you choose.",30 mins,12 mins,52 mins,15,"2 cups peanut butter | 2 cups white sugar | 4 eggs, beaten | 2 cups semi-sweet chocolate chips (Optional) | 1 ½ cups chopped pecans (Optional)",,30.0,12.0,52.0,10.0,D,Short Wait,Wait time 1-30 min
White Chocolate Biscotti,4.0,"Gorgeous white chocolate, apricot, and almond biscotti. So elegant ... and everyone will rave! Serve them plain or drizzled with melted white chocolate. Store in an airtight container.",30 mins,25 mins,1 hr 5 mins,40,"1 ½ cups sugar | ½ cup butter, plus more for greasing | 2 eggs | 2 ¾ cups all-purpose flour, plus more for dusting | ¾ cup chopped toasted almonds | ¾ cup chopped dried apricots | ¼ cup orange juice | 3 (1 ounce) squares white chocolate, melted and cooled | 3 (1 ounce) squares white chocolate, chopped | 2 ½ teaspoons baking powder | 1 teaspoon salt | 1 teaspoon almond extract",https://www.allrecipes.com/thmb/PnTQmJJ6XWSfilFC7DRDz98VWS4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8721220-9d4df0248a36441abdb5fb06b3872377.jpg,30.0,25.0,65.0,10.0,D,Short Wait,Wait time 1-30 min
Chicken Cacciatore Rice Bowl,4.6,Bite-sized chunks of chicken simmered in a traditional pasta sauce with bell peppers are served over piping hot brown rice.,15 mins,25 mins,40 mins,6,"Salt and ground black pepper to taste | ½ cup all-purpose flour | 1 ½ pounds boneless, skinless chicken thighs, cut into 1-inch pieces | olive oil | 1 large red bell pepper, seeded and chopped | 1 small yellow onion, chopped | 2 cloves garlic, minced | ¾ cup dry white wine | ¾ cup chicken broth | 1 (24 ounce) jar RAGÚ® Old World Style® Traditional Sauce | 6 cups cooked brown rice",https://www.allrecipes.com/thmb/pEyf19hLE_XLP25gmU0fifTJYsA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1107749-422ce11bec3643c691219d1724b28866.jpg,15.0,25.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Easy Strawberry Ice Cream,4.8,Strawberry ice cream is super easy to make with ripe juicy strawberries and this recipe that doesn't use an egg-custard base but still tastes rich and creamy.,10 mins,,1 hr,8,2 cups mashed ripe fresh strawberries | 2 cups whole milk | 2 cups heavy cream | 1 cup white sugar | 2 teaspoons vanilla extract | ¼ teaspoon salt | 2 drops red food coloring (Optional),https://www.allrecipes.com/thmb/pH8hoFfytcOT9XVK1DSmxv3L0OU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/140877-easy-eggless-strawberry-ice-cream-ddmfs-3x4-1-092e4d11b59049c8b3843014ea3c57f2.jpg,10.0,,60.0,50.0,,,
Shrimp Ceviche Baja Style,4.0,This ceviche will give you a hint of Baja California. This is my grandma Isabel Flores' recipe. Garnish with fresh oregano. Enjoy with tostadas and ketchup. I enjoy my ceviche spreading a thin layer of mayonnaise in my tostada prior to add the ceviche. From my table to yours. Enjoy.,45 mins,,1 hr 40 mins,4,"1 pound shrimp, deveined and chopped | salt and pepper to taste | 2 cups lime juice | 1 ½ cups chopped white onion | 1 cup pickled jalapeno peppers and juice, divided | 2 cups grated carrots | 1 cup finely chopped cucumber | 1 cup finely chopped celery | 1 ½ tomatoes, finely chopped | ⅓ cup finely chopped cilantro",https://www.allrecipes.com/thmb/OPzwg7dDGcQ-QDqc4ombR9PLZS4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8306200-96b89d532bc249b5bb0f34ab204a2377.jpg,45.0,,100.0,55.0,,,
Ginger Veggie Stir Fry,4.6,"This veggie stir fry is something I whipped up one day when I felt like cooking a stir fry but did not have all the ingredients called for in some of the stir fry recipes on this site. I used a bunch of vegetables I had on hand, but any seasonal veggies may be used. It has a mild ginger flavor that can be enhanced according to taste, and is filling yet light on the tummy!",25 mins,15 mins,40 mins,6,"4 tablespoons vegetable oil, divided | 2 teaspoons chopped fresh ginger root, divided | 1 ½ cloves garlic, crushed | 1 tablespoon cornstarch | 1 small head broccoli, cut into florets | ¾ cup julienned carrots | ½ cup snow peas | ½ cup halved green beans | 2 ½ tablespoons water | 2 tablespoons soy sauce | ¼ cup chopped onion | ½ tablespoon salt, or to taste",,25.0,15.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Perfect Pumpkin Pie,4.7,The one and only pumpkin pie recipe! Eagle Brand makes this traditional dessert the perfect ending to a Thanksgiving feast.,10 mins,50 mins,1 hr,8,1 (15 ounce) can pumpkin puree | 1 (14 ounce) can Eagle Brand Sweetened Condensed Milk | 2 large eggs | 1 teaspoon ground cinnamon | ½ teaspoon ground ginger | ½ teaspoon ground nutmeg | ½ teaspoon salt | 1 (9 inch) unbaked pie crust,,10.0,50.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Wheat Flour Halva,,"There are varieties of halva in the Middle East but this one is a Persian-style with saffron, rose water, and cardamom with a soft texture that melts in you mouth. Decorate as desired with almonds and pistachios. Serve it at room temperature.",10 mins,16 mins,46 mins,8,1 ½ cups water | 1 cup white sugar | ¼ cup rose water | ⅓ teaspoon ground cardamom | 1 pinch saffron | ½ cup butter | 1 ½ cups all-purpose flour,https://www.allrecipes.com/thmb/l6--IrKCYCzuqn9VvP84Mv_IA_o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4480119-4f323c9326d54184b5f9c460bb3b1060.jpg,10.0,16.0,46.0,20.0,D,Short Wait,Wait time 1-30 min
German Semolina Pudding,4.8,This is a delicious traditional German dessert-type dish that your kids will love! It's a sweet semolina pudding served with anything from applesauce to ground cinnamon and sugar. You can adjust the amount of sugar to your preferred sweetness.,5 mins,20 mins,25 mins,2,2 cups milk | 1 ½ tablespoons white sugar | ⅓ cup semolina,https://www.allrecipes.com/thmb/Hhf-7nnaYUKCtXhMqDrBnPL1aaw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/127939-431aa54a437446f39976fb798da2eb9d.jpg,5.0,20.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
White Cheese Chicken Lasagna,4.4,Chicken lasagna with spinach and a creamy white cheese sauce. Great for any kind of potluck. My kids love it!,25 mins,50 mins,1 hr 15 mins,12,"9 lasagna noodles | ½ cup butter | 1 onion, chopped | 1 clove garlic, minced | ½ cup all-purpose flour | 2 cups chicken broth | 1 ½ cups milk | 1 teaspoon salt | 4 cups shredded mozzarella cheese, divided | 1 cup grated Parmesan cheese, divided | 1 teaspoon dried basil | 1 teaspoon dried oregano | ½ teaspoon ground black pepper | 2 cups ricotta cheese | 2 cups cubed, cooked chicken meat | 2 (10 ounce) packages frozen chopped spinach, thawed and drained | 1 tablespoon chopped fresh parsley",,25.0,50.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Mary's Gone Crackers Copycat,5.0,"These gluten-free crackers make a delicious snack on their own or with dips and cheeses. You can add other seeds such as caraway, cumin, or nigella for different flavor profiles. Or you can experiment with dried herbs or garlic powder depending on your individual preferences.",15 mins,15 mins,30 mins,8,"1 cup cooked brown rice | 1 cup cooked quinoa | 2 teaspoons tamari (gluten-free soy sauce) (Optional) | 1 tablespoon water, or as needed (Optional) | ¼ cup chia seeds | ¼ cup sesame seeds | ¼ cup flax seeds | salt to taste",https://www.allrecipes.com/thmb/wLVVJL7xlTR8WteZAN1iRdqktWI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8921569-38a7ce8a32f24531bb34ecc1eb7dadca.jpg,15.0,15.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Homemade Sweet Italian Sausage (Mild or Hot),4.7,"This Italian sausage recipe is easy and versatile. Follow directions for sausage patties, or use the meat mixture in spaghetti sauce or meatballs. You can take it from mild to hot by adjusting the spices, and can substitute ground turkey or ground chuck — just not ground beef! If using turkey, you'll have to coat your skillet with a little oil before cooking the sausage as turkey has very little fat and the sausage might stick to the skillet without it.",20 mins,15 mins,12 hrs 35 mins,12,"3 pounds ground pork | 3 tablespoons red wine vinegar | 1 ¼ tablespoons dried parsley | 1 tablespoon garlic powder | 1 tablespoon onion powder | 1 tablespoon dried basil | 1 tablespoon salt | 1 tablespoon freshly cracked black pepper | 2 teaspoons paprika | 2 teaspoons crushed red pepper flakes, or to taste | ¾ teaspoon ground fennel seed | ¼ teaspoon brown sugar | ⅛ teaspoon dried oregano | ⅛ teaspoon dried thyme",https://www.allrecipes.com/thmb/Cv-9tfvnv4M34q24AEelSstVrYg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-216319-homemade-sweet-italian-sausage-hero-4x3-6acb8fca8b664818a695d2422ffc9c06.jpg,20.0,15.0,755.0,720.0,E,Long Wait,Wait time > 30 min
Peanut Butter Fudge with Condensed Milk,4.5,"Made with just three ingredients, this peanut butter fudge with condensed milk is a quick and easy dessert option for parties or potlucks.",10 mins,5 mins,45 mins,12,½ cup butter | 2 (10 ounce) packages peanut butter chips | 1 (14 ounce) can sweetened condensed milk,https://www.allrecipes.com/thmb/BMBs_enXtcqEVnNLmdQ_uMoQntY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7898860-5901e16c7c234b7bbcf11d5e2f7e5779.jpg,10.0,5.0,45.0,30.0,D,Short Wait,Wait time 1-30 min
Candy Apples,4.7,These candy apples have a hard crunchy coating. Kids love them at Halloween!,10 mins,30 mins,40 mins,15,"cooking spray | 15 craft sticks | 15 medium apples, washed and dried | 2 cups white sugar | 1 ½ cups water | 1 cup light corn syrup | 8 drops red food coloring",https://www.allrecipes.com/thmb/mlB5dL_FujKuF2HQaybB2yuZKdU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-21134-candied-apples-ii-VAT-4x3-33d504f86efb41cab7db93ae1c31915e.jpg,10.0,30.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Gingerbread Whoopie Pies,4.0,"These cookies are not a pie, and these pies aren't even cookies! They're really little cakes. Despite their confusing name, they are delicious and fun to make.",30 mins,12 mins,1 hr 12 mins,12,"10 ounces all-purpose flour | ½ cup white sugar | ½ cup dark molasses | 2 ½ teaspoons ground ginger, or more to taste | 1 ¼ teaspoons baking soda | 1 teaspoon ground cinnamon | ¾ teaspoon salt | ⅓ cup vegetable oil | 1 egg, beaten | ⅓ cup boiling water | Filling: | 2 ½ cups confectioners' sugar | 1 (8 ounce) package cream cheese, room temperature | ¼ cup butter, room temperature | 2 teaspoons heavy whipping cream, or as needed | 1 teaspoon vanilla extract",,30.0,12.0,72.0,30.0,D,Short Wait,Wait time 1-30 min
Buffalo Chicken Twice-Baked Potatoes,4.9,"This Buffalo chicken and baked potato dish is a recipe I thought of on a cold Saturday night. I wanted baked potatoes and craved Buffalo chicken, so I just combined the two. My whole family loves them! Great for a game-day party or any cold day.",15 mins,1 hr 50 mins,2 hrs 5 mins,8,"4 large baking potatoes | 1 tablespoon vegetable oil | 4 skinless, boneless chicken breasts, cut in bite-sized pieces | ½ cup unsalted butter | salt and ground black pepper to taste | 3 cups shredded Cheddar cheese, divided | 1 ½ cups Buffalo hot sauce (such as Texas Pete)",https://www.allrecipes.com/thmb/1PxmZCfsANd_E5pFrp7b1EUMd9M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3108465-7d5288d475b94dab9f6b462f038c8343.jpg,15.0,110.0,125.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
